AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
9100CXTN,CXTN,CUX,Cuxton Rail Station,,U,571435,166750,,,,
9100HIGM,HIGM,HGM,Higham Rail Station,,U,571556,172613,,,,
9100AYLESFD,AYLESFD,AYL,Aylesford Rail Station,,U,572017,158687,,,,
9100LAKNHTH,LAKNHTH,LAK,Lakenheath Rail Station,,U,572390,286293,,,,
9100BARMING,BARMING,BMG,Barming Rail Station,,U,572970,156891,,,,
9100CTNG,CTNG,CLL,Collington Rail Station,,U,573153,107296,,,,
9100RBRTSBD,RBRTSBD,RBR,Robertsbridge Rail Station,,U,573380,123515,,,,
9100EFARLGH,EFARLGH,EFL,East Farleigh Rail Station,,U,573484,153607,,,,
9100PITSEA,PITSEA,PSE,Pitsea Rail Station,,U,573828,187585,,,,
9100STROOD,STROOD,SOO,Strood Rail Station,,U,574027,169356,,,,
9100MARDEN,MARDEN,MRN,Marden Rail Station,,U,574375,144725,,,,
9100BEXHILL,BEXHILL,BEX,Bexhill Rail Station,,U,574495,107536,,,,
9100WIKFORD,WIKFORD,WIC,Wickford Rail Station,,U,574512,193694,,,,
9100RCHT,RCHT,RTR,Rochester Rail Station,,U,574771,168157,,,,
9100MSTONEB,MSTONEB,MDB,Maidstone Barracks Rail Station,,U,575440,156115,,,,
9100BATTLE,BATTLE,BAT,Battle Rail Station,,U,575470,115569,,,,
9100CHATHAM,CHATHAM,CTM,Chatham Rail Station,,U,575547,167608,,,,
9100MSTONEW,MSTONEW,MDW,Maidstone West Rail Station,,U,575592,155374,,,,
9100MSTONEE,MSTONEE,MDE,Maidstone East Rail Station,,U,575949,156206,,,,
9100CRWHRST,CRWHRST,CWU,Crowhurst Rail Station,,U,576028,112879,,,,
9100BRAINTR,BRAINTR,BTR,Braintree Rail Station,,U,576093,222736,,,,
9100BRAINFP,BRAINFP,BTP,Braintree Freeport Rail Station,,U,576925,222100,,,,
9100GLNGHMK,GLNGHMK,GLM,Gillingham (Kent) Rail Station,,U,577520,168365,,,,
9100CRESING,CRESING,CES,Cressing Rail Station,,U,577648,220224,,,,
9100BTLSBDG,BTLSBDG,BLB,Battlesbridge Rail Station,,U,577665,194895,,,,
9100BENFLET,BENFLET,BEF,Benfleet Rail Station,,U,577733,185893,,,,
9100SPHS,SPHS,SPU,Staplehurst Rail Station,,U,578392,144450,,,,
9100BNDON,BNDON,BND,Brandon Rail Station,,U,578447,287245,,,,
9100WSLE,WSLE,WLD,West St Leonards Rail Station,,U,578878,109033,,,,
9100HFLPEVL,HFLPEVL,HAP,Hatfield Peverel Rail Station,,U,578910,212200,,,,
9100WNOTLEY,WNOTLEY,WNY,White Notley Rail Station,,U,578934,218775,,,,
9100BSTD,BSTD,BSD,Bearsted Rail Station,,U,579882,156119,,,,
9100RAYLEGH,RAYLEGH,RLG,Rayleigh Rail Station,,U,580207,191029,,,,
9100STLNRWS,STLNRWS,SLQ,St Leonards Warrior Square Rail Station,,U,580300,109365,,,,
9100WDHAMFR,WDHAMFR,SOF,South Woodham Ferrers Rail Station,,U,580420,197735,,,,
9100HASTING,HASTING,HGS,Hastings Rail Station,,U,581450,109650,,,,
9100RAINHMK,RAINHMK,RAI,Rainham (Kent) Rail Station,,U,581878,166263,,,,
9100WITHAME,WITHAME,WTM,Witham (Essex) Rail Station,,U,582047,215219,,,,
9100OREE,OREE,ORE,Ore Rail Station,,U,582458,110693,,,,
9100LHONSEA,LHONSEA,LES,Leigh-on-Sea Rail Station,,U,583200,185790,,,,
9100HBRN,HBRN,HBN,Hollingbourne Rail Station,,U,583430,155060,,,,
9100DOLEHAM,DOLEHAM,DLH,Doleham Rail Station,,U,583550,116480,,,,
9100HEADCRN,HEADCRN,HCN,Headcorn Rail Station,,U,583800,144000,,,,
9100THOK,THOK,TOK,Three Oaks Rail Station,,U,583835,114545,,,,
9100HOCKLEY,HOCKLEY,HOC,Hockley Rail Station,,U,584237,192762,,,,
9100BSTEDMS,BSTEDMS,BSE,Bury St Edmunds Rail Station,,U,585300,265200,,,,
9100CHLKWEL,CHLKWEL,CHW,Chalkwell Rail Station,,U,585303,185582,,,,
9100FAMBDGE,FAMBDGE,NFA,North Fambridge Rail Station,,U,585622,197826,,,,
9100NEWNGTN,NEWNGTN,NGT,Newington Rail Station,,U,585914,164965,,,,
9100KELVEDN,KELVEDN,KEL,Kelvedon Rail Station,,U,586264,219241,,,,
9100HRSM,HRSM,HRM,Harrietsham Rail Station,,U,586620,152910,,,,
9100WCLIFF,WCLIFF,WCF,Westcliff-on-Sea Rail Station,,U,586756,185481,,,,
9100THETFD,THETFD,TTF,Thetford Rail Station,,U,586770,283670,,,,
9100ROCHFD,ROCHFD,RFD,Rochford Rail Station,,U,587325,190445,,,,
9100STHEAIR,STHEAIR,SIA,Southend Airport Rail Station,,U,587569,189000,,,,
9100SUDBURY,SUDBURY,SUY,Sudbury (Suffolk) Rail Station,,U,587723,241073,,,,
9100PRITLWL,PRITLWL,PRL,Prittlewell Rail Station,,U,588033,187015,,,,
9100STHVIC,STHVIC,SOV,Southend Victoria Rail Station,,U,588128,185997,,,,
9100STHCENT,STHCENT,SOC,Southend Central Rail Station,,U,588162,185503,,,,
9100LENHAM,LENHAM,LEN,Lenham Rail Station,,U,589130,151850,,,,
9100STHNDE,STHNDE,SOE,Southend East Rail Station,,U,589547,185767,,,,
9100CHPWKSC,CHPWKSC,CWC,Chappel & Wakes Colne Rail Station,,U,589770,228860,,,,
9100WINCHLS,WINCHLS,WSE,Winchelsea Rail Station,,U,589974,118401,,,,
9100BURES,BURES,BUE,Bures Rail Station,,U,590310,233920,,,,
9100ALTHORN,ALTHORN,ALN,Althorne Rail Station,,U,590524,197929,,,,
9100KMSLY,KMSLY,KML,Kemsley Rail Station,,U,590526,166148,,,,
9100STNGBRN,STNGBRN,SIT,Sittingbourne Rail Station,,U,590564,163871,,,,
9100SWALE,SWALE,SWL,Swale Rail Station,,U,591234,169158,,,,
9100QUENBRO,QUENBRO,QBR,Queenborough Rail Station,,U,591300,172100,,,,
9100THOPBAY,THOPBAY,TPB,Thorpe Bay Rail Station,,U,591627,185689,,,,
9100MRKSTEY,MRKSTEY,MKT,Marks Tey Rail Station,,U,591668,223925,,,,
9100SHRNSOS,SHRNSOS,SSS,Sheerness-on-Sea Rail Station,,U,591810,174950,,,,
9100THUSTON,THUSTON,TRS,Thurston Rail Station,,U,591823,265030,,,,
9100RYEE,RYEE,RYE,Rye Rail Station,,U,591895,120543,,,,
9100PLUCKLY,PLUCKLY,PLC,Pluckley Rail Station,,U,592221,143279,,,,
9100SHBRYNS,SHBRYNS,SRY,Shoeburyness Rail Station,,U,593986,185044,,,,
9100BRNMONC,BRNMONC,BUU,Burnham-on-Crouch Rail Station,,U,594842,196511,,,,
9100CRNG,CRNG,CHG,Charing (Kent) Rail Station,,U,595005,149132,,,,
9100TEYNHAM,TEYNHAM,TEY,Teynham Rail Station,,U,595666,163108,,,,
9100SMINSTR,SMINSTR,SMN,Southminster Rail Station,,U,596190,199566,,,,
9100APDR,APDR,APD,Appledore (Kent) Rail Station,,U,597566,129760,,,,
9100HRLNGRD,HRLNGRD,HRD,Harling Road Rail Station,,U,597770,287950,,,,
9100ELMSWEL,ELMSWEL,ESW,Elmswell Rail Station,,U,598970,263980,,,,
9100CLCHSTR,CLCHSTR,COL,Colchester Rail Station,,U,599100,226417,,,,
9100CLCHRTN,CLCHRTN,CET,Colchester Town Rail Station,,U,600000,224865,,,,
9100HMST,HMST,HMT,Ham Street Rail Station,,U,600090,133770,,,,
9100ASHFKY,ASHFKY,AFK,Ashford International Rail Station,,U,601282,142204,,,,
9100CLCHHYT,CLCHHYT,HYH,Hythe (Essex) Rail Station,,U,601570,224837,,,,
9100FAVRSHM,FAVRSHM,FAV,Faversham Rail Station,,U,601585,160924,,,,
9100ECLR,ECLR,ECS,Eccles Road Rail Station,,U,601820,290030,,,,
9100WIVENHO,WIVENHO,WIV,Wivenhoe Rail Station,,U,603670,221680,,,,
9100WYEE,WYEE,WYE,Wye Rail Station,,U,604813,146943,,,,
9100STWMRKT,STWMRKT,SMK,Stowmarket Rail Station,,U,605160,258850,,,,
9100ATTLBON,ATTLBON,ATL,Attleborough Rail Station,,U,605177,295033,,,,
9100SELLING,SELLING,SEG,Selling Rail Station,,U,605210,157242,,,,
9100ALRESFD,ALRESFD,ALR,Alresford (Essex) Rail Station,,U,606525,221515,,,,
9100CLMN,CLMN,CIL,Chilham Rail Station,,U,607800,153700,,,,
9100NEEDHAM,NEEDHAM,NMT,Needham Market Rail Station,,U,609110,254880,,,,
9100MANNGTR,MANNGTR,MNG,Manningtree Rail Station,,U,609374,232220,,,,
9100SPONRRW,SPONRRW,SPN,Spooner Row Rail Station,,U,609430,297491,,,,
9100CHARTHM,CHARTHM,CRT,Chartham Rail Station,,U,610683,155227,,,,
9100GTBNTLY,GTBNTLY,GRB,Great Bentley Rail Station,,U,611198,221460,,,,
9100WHSTBLE,WHSTBLE,WHI,Whitstable Rail Station,,U,611286,166424,,,,
9100WYMNDHM,WYMNDHM,WMD,Wymondham Rail Station,,U,611423,300965,,,,
9100MISTLEY,MISTLEY,MIS,Mistley Rail Station,,U,611884,231722,,,,
9100DISS,DISS,DIS,Diss Rail Station,,U,612730,279660,,,,
9100WENHNGR,WENHNGR,WHA,Westenhanger Rail Station,,U,612825,137240,,,,
9100CHSW,CHSW,CSW,Chestfield & Swalecliffe Rail Station,,U,613615,166817,,,,
9100CNTBW,CNTBW,CBW,Canterbury West Rail Station,,U,614552,158395,,,,
9100CNTBE,CNTBE,CBE,Canterbury East Rail Station,,U,614645,157285,,,,
9100WEELEY,WEELEY,WEE,Weeley Rail Station,,U,614657,221756,,,,
9100SDLG,SDLG,SDG,Sandling Rail Station,,U,614806,136811,,,,
9100IPSWICH,IPSWICH,IPS,Ipswich Rail Station,,U,615700,243800,,,,
9100SHRGHAM,SHRGHAM,SHM,Sheringham Rail Station,,U,615810,343050,,,,
9100WSTRFLD,WSTRFLD,WFI,Westerfield Rail Station,,U,617025,247243,,,,
9100HRNEBAY,HRNEBAY,HNB,Herne Bay Rail Station,,U,617130,167450,,,,
9100CLACTON,CLACTON,CLT,Clacton-on-Sea Rail Station,,U,617600,215300,,,,
9100STURRY,STURRY,STU,Sturry Rail Station,,U,617746,160401,,,,
9100THPLESK,THPLESK,TLS,Thorpe-le-Soken Rail Station,,U,617845,221285,,,,
9100WRABNES,WRABNES,WRB,Wrabness Rail Station,,U,618095,231530,,,,
9100WRUNTON,WRUNTON,WRN,West Runton Rail Station,,U,618200,342500,,,,
9100DERBYRD,DERBYRD,DBR,Derby Road (Ipswich) Rail Station,,U,618320,243910,,,,
9100BEKSBRN,BEKSBRN,BKS,Bekesbourne Rail Station,,U,618942,156029,,,,
9100FLKSTNW,FLKSTNW,FKW,Folkestone West Rail Station,,U,620985,136428,,,,
9100CMER,CMER,CMR,Cromer Rail Station,,U,621410,342040,,,,
9100KIRBYX,KIRBYX,KBX,Kirby Cross Rail Station,,U,621566,220753,,,,
9100RGHTNRD,RGHTNRD,RNR,Roughton Road Rail Station,,U,621940,340720,,,,
9100FLKSTNC,FLKSTNC,FKC,Folkestone Central Rail Station,,U,622084,136286,,,,
9100ADISHAM,ADISHAM,ADM,Adisham Rail Station,,U,623391,153976,,,,
9100FRINTON,FRINTON,FRI,Frinton-on-Sea Rail Station,,U,623525,220426,,,,
9100PRKSTON,PRKSTON,HPQ,Harwich International Rail Station,,U,623803,232649,,,,
9100NRCH,NRCH,NRW,Norwich Rail Station,,U,623900,308400,,,,
9100ALSHAM,ALSHAM,AYH,Aylesham Rail Station,,U,624182,152457,,,,
9100SNWDNAN,SNWDNAN,SWO,Snowdown Rail Station,,U,624537,151141,,,,
9100WONNAZE,WONNAZE,WON,Walton-on-the-Naze Rail Station,,U,625170,221445,,,,
9100GUNTON,GUNTON,GNT,Gunton Rail Station,,U,625523,335128,,,,
9100DOVRCRT,DOVRCRT,DVC,Dovercourt Rail Station,,U,625597,231777,,,,
9100SWELL,SWELL,SPH,Shepherds Well Rail Station,,U,625800,148200,,,,
9100HARWICH,HARWICH,HWC,Harwich Town Rail Station,,U,625987,232397,,,,
9100WODBDGE,WODBDGE,WDB,Woodbridge Rail Station,,U,627380,248760,,,,
9100TRIMLEY,TRIMLEY,TRM,Trimley Rail Station,,U,628080,236100,,,,
9100NWALSHM,NWALSHM,NWA,North Walsham Rail Station,,U,628160,329740,,,,
9100MELTON,MELTON,MES,Melton (Suffolk) Rail Station,,U,628710,250380,,,,
9100KSNY,KSNY,KSN,Kearsney Rail Station,,U,628938,143992,,,,
9100SALHOUS,SALHOUS,SAH,Salhouse Rail Station,,U,629370,314050,,,,
9100WORSTED,WORSTED,WRT,Worstead Rail Station,,U,629690,325415,,,,
9100BCNGNOS,BCNGNOS,BCH,Birchington-on-Sea Rail Station,,U,629849,169444,,,,
9100FLXSTOW,FLXSTOW,FLX,Felixstowe Rail Station,,U,630250,235146,,,,
9100WROXHAM,WROXHAM,HXM,Hoveton & Wroxham Rail Station,,U,630280,318550,,,,
9100MINSTER,MINSTER,MSR,Minster Rail Station,,U,631192,164122,,,,
9100DOVERP,DOVERP,DVP,Dover Priory Rail Station,,U,631380,141464,,,,
9100BRUNDLG,BRUNDLG,BGA,Brundall Gardens Rail Station,,U,631470,308340,,,,
9100WESGTOS,WESGTOS,WGA,Westgate-on-Sea Rail Station,,U,632400,170000,,,,
9100WCKHMMR,WCKHMMR,WCM,Wickham Market Rail Station,,U,632605,255760,,,,
9100BRUNDAL,BRUNDAL,BDA,Brundall Rail Station,,U,632904,307967,,,,
9100SWCH,SWCH,SDW,Sandwich Rail Station,,U,633258,157613,,,,
9100MMIL,MMIL,MTM,Martin Mill Rail Station,,U,634155,146600,,,,
9100MARGATE,MARGATE,MAR,Margate Rail Station,,U,634720,170550,,,,
9100BUCKNHM,BUCKNHM,BUC,Buckenham Rail Station,,U,635120,305650,,,,
9100LGWOOD,LGWOOD,LGD,Lingwood Rail Station,,U,636317,308423,,,,
9100WALMER,WALMER,WAM,Walmer Rail Station,,U,636410,150340,,,,
9100RAMSGTE,RAMSGTE,RAM,Ramsgate Rail Station,,U,637348,165700,,,,
9100DEAL,DEAL,DEA,Deal Rail Station,,U,637424,152584,,,,
9100CNTLEY,CNTLEY,CNY,Cantley Rail Station,,U,638140,303680,,,,
9100SXMNDHM,SXMNDHM,SAX,Saxmundham Rail Station,,U,638520,263150,,,,
9100DUMPTNP,DUMPTNP,DMP,Dumpton Park Rail Station,,U,638670,166307,,,,
9100HALSWTH,HALSWTH,HAS,Halesworth Rail Station,,U,638868,277868,,,,
9100BRSR,BRSR,BSR,Broadstairs Rail Station,,U,639131,167997,,,,
9100ACLE,ACLE,ACL,Acle Rail Station,,U,639900,310000,,,,
9100DARSHAM,DARSHAM,DSM,Darsham Rail Station,,U,640480,269720,,,,
9100BRAMPTN,BRAMPTN,BRP,Brampton (Suffolk) Rail Station,,U,641200,283400,,,,
9100RDHAMN,RDHAMN,REE,Reedham (Norfolk) Rail Station,,U,641350,302250,,,,
9100BECCLES,BECCLES,BCC,Beccles Rail Station,,U,642600,290500,,,,
9100HADISCO,HADISCO,HAD,Haddiscoe Rail Station,,U,645842,298493,,,,
9100BRNYARM,BRNYARM,BYA,Berney Arms Rail Station,,U,646000,305300,,,,
9100SMRLYTN,SMRLYTN,SYT,Somerleyton Rail Station,,U,647930,296530,,,,
9100OULTNBS,OULTNBS,OUS,Oulton Broad South Rail Station,,U,651920,292205,,,,
9100YARMTH,YARMTH,GYM,Great Yarmouth Rail Station,,U,652000,308100,,,,
9100OULTNBN,OULTNBN,OUN,Oulton Broad North Rail Station,,U,652420,293140,,,,
9100LOWSTFT,LOWSTFT,LWT,Lowestoft Rail Station,,U,654747,292890,,,,
